n,naive,McCreight,Search1,Search10,Search100
1000,0.00531967880227603,0.005359132401878014,7.795998826622962e-07,2.5140051729977127e-07,2.4140032473951576e-07
2000,0.01298158020025585,0.012857484600506721,7.952006999403238e-07,6.681990344077347e-07,2.433997578918933e-07
3000,0.019970327199087475,0.019541794999386186,8.192001841962338e-07,2.448009327054024e-07,2.4760002270340913e-07
4000,0.028268866401864216,0.027800458201090804,8.708001114428041e-07,2.4299998767673967e-07,2.4359999224543575e-07
5000,0.03576612999907229,0.034724058800609775,8.474002825096248e-07,2.4620036128908393e-07,2.4539942387491466e-07
6000,0.04334871260204818,0.04158347899804358,8.549998747184875e-07,2.525998279452324e-07,2.472000196576118e-07
7000,0.05138073780061676,0.0497183605992468,8.376002078875899e-07,2.414002083241939e-07,2.488002646714449e-07
8000,0.060140382399433284,0.058306919402792125,8.204004261642693e-07,2.436002250760794e-07,2.414000919088721e-07
9000,0.06911659059964585,0.06747750940069092,8.365998510271312e-07,2.447997685521841e-07,2.4280080106109376e-07
10000,0.07777455199917313,0.0761407514003804,8.237990550696851e-07,2.4580059107393027e-07,2.410003216937184e-07
